index,castell de bellver: (Alemania),cuevas del drach: (Alemania),formentor: (Alemania),palma aquarium: (Alemania),soller: (Alemania),cala galdana: (Alemania),cala mitjana: (Alemania),cala macarella: (Alemania),cala macarelleta: (Alemania),albufera: (Alemania),Cala pregonda: (Alemania),cala benirras: (Alemania),es vedra: (Alemania),ses salines: (Alemania),cala salada: (Alemania),ses illetes: (Alemania),es pujols: (Alemania),magaluf: (Alemania),date
0,51,100,27,53,45,24,48,45,66,82,100,55,64,62,33,100,80,22,2015-08-01
1,63,66,19,61,54,22,34,84,0,81,99,0,31,45,32,31,49,10,2015-09-01
2,30,31,18,59,40,15,32,41,61,60,0,0,59,25,0,31,24,6,2015-10-01
3,30,31,9,39,34,15,32,40,0,64,0,0,29,24,30,31,36,3,2015-11-01
4,37,0,14,34,29,25,37,0,75,51,0,0,69,24,31,0,59,6,2015-12-01
5,28,38,11,36,41,27,30,0,57,63,84,46,54,34,28,57,22,6,2016-01-01
6,29,29,9,54,50,41,30,75,58,70,0,46,41,27,28,71,33,100,2016-02-01
7,57,0,19,39,49,42,30,38,61,87,0,0,29,28,0,60,24,8,2016-03-01
8,79,30,21,38,55,28,91,39,59,61,86,49,29,28,55,30,54,78,2016-04-01
9,100,61,22,31,47,54,94,61,62,72,0,47,39,35,56,33,59,36,2016-05-01
10,58,30,13,38,51,28,69,77,60,62,88,49,41,35,57,56,47,14,2016-06-01
11,64,33,26,62,52,34,34,42,61,79,0,100,95,48,42,63,100,25,2016-07-01
12,34,66,26,66,46,48,54,45,69,69,0,58,66,65,100,70,37,29,2016-08-01
13,32,32,15,61,46,45,33,42,63,82,95,53,45,60,61,64,75,10,2016-09-01
14,32,32,18,59,46,19,100,41,0,69,0,50,29,26,31,61,36,6,2016-10-01
15,30,0,6,19,31,28,31,0,0,42,0,0,43,24,0,30,23,5,2016-11-01
16,31,29,7,37,29,26,0,0,67,44,0,0,32,38,32,58,46,5,2016-12-01
17,29,28,11,28,37,22,29,36,56,62,85,0,37,34,28,56,53,9,2017-01-01
18,55,38,12,36,49,26,0,37,56,62,0,45,27,28,0,56,22,8,2017-02-01
19,29,30,11,47,48,18,31,37,0,52,0,46,40,34,29,0,34,9,2017-03-01
20,59,30,26,28,60,41,0,56,58,87,0,48,71,41,29,43,69,17,2017-04-01
21,32,28,21,44,46,32,44,39,59,92,95,48,57,38,31,30,46,13,2017-05-01
22,29,30,30,79,46,27,46,59,60,100,90,46,85,100,0,57,44,43,2017-06-01
23,44,57,23,67,49,28,61,77,58,66,87,48,55,57,57,57,44,25,2017-07-01
24,43,59,29,91,45,22,45,0,58,69,88,48,42,59,28,49,34,25,2017-08-01
25,28,41,17,43,53,39,43,75,55,54,0,46,36,37,27,56,43,11,2017-09-01
26,27,28,16,35,55,25,57,35,0,81,83,44,26,47,27,27,62,7,2017-10-01
27,26,52,7,33,32,12,28,34,0,41,79,43,26,18,0,27,21,3,2017-11-01
28,28,31,14,54,39,26,32,72,62,39,0,0,26,33,27,0,43,5,2017-12-01
29,0,25,12,24,46,39,26,33,100,60,0,0,48,31,0,51,30,4,2018-01-01
30,26,26,11,65,35,16,0,34,52,51,0,42,25,31,0,38,20,11,2018-02-01
31,27,39,22,43,100,26,29,34,52,63,0,0,49,38,38,39,33,20,2018-03-01
32,27,84,20,52,52,29,28,36,56,53,82,88,78,60,51,53,21,9,2018-04-01
33,38,78,19,85,52,26,54,53,55,46,80,67,66,48,51,27,21,23,2018-05-01
34,25,26,22,33,40,25,44,0,52,67,79,0,61,56,93,26,40,17,2018-06-01
35,27,82,29,49,46,36,56,53,54,98,0,44,69,43,50,40,42,29,2018-07-01
36,53,67,29,62,50,21,56,35,53,56,81,86,52,48,26,40,31,21,2018-08-01
37,0,53,35,100,49,25,55,35,0,58,0,43,34,42,26,26,34,17,2018-09-01
38,26,44,11,61,52,24,55,34,53,34,0,43,25,27,25,26,30,11,2018-10-01
39,25,37,6,16,30,12,26,0,0,42,0,41,49,20,24,25,29,3,2018-11-01
40,27,30,16,51,39,14,28,0,0,38,0,0,28,20,26,27,31,6,2018-12-01
41,23,24,10,23,46,28,24,0,48,83,0,39,23,19,23,36,37,5,2019-01-01
42,33,25,66,24,44,23,26,34,48,52,0,41,24,20,24,37,39,6,2019-02-01
43,25,25,41,48,55,23,52,33,50,60,0,77,24,30,48,50,38,7,2019-03-01
44,40,27,32,69,55,25,51,0,0,70,0,43,47,37,72,53,38,8,2019-04-01
45,25,48,31,80,49,41,26,33,48,59,0,41,48,36,24,42,20,12,2019-05-01
46,50,50,36,40,78,35,66,100,50,86,76,62,60,30,49,61,38,19,2019-06-01
47,27,51,37,57,52,34,71,65,54,71,79,44,100,35,42,39,29,18,2019-07-01
48,26,50,39,42,49,29,40,67,51,53,79,41,59,46,74,26,41,18,2019-08-01
49,37,48,29,38,52,34,52,32,99,54,0,39,47,30,24,25,38,11,2019-09-01
50,24,36,28,40,46,11,25,31,46,75,0,39,68,39,23,24,56,7,2019-10-01
51,33,23,10,29,35,21,24,30,45,52,0,0,21,14,0,23,27,3,2019-11-01
52,0,27,26,17,38,100,26,33,50,32,0,0,25,22,36,46,27,6,2019-12-01
53,22,22,21,28,42,21,23,0,87,61,64,0,31,18,21,43,25,5,2020-01-01
54,21,0,20,28,46,15,23,29,43,45,64,0,31,43,21,22,34,4,2020-02-01
55,0,20,86,14,37,20,21,27,40,15,0,0,20,24,19,42,26,2,2020-03-01
56,21,20,17,0,15,10,22,0,0,18,0,34,41,17,21,22,32,3,2020-04-01
57,0,0,49,13,20,10,22,26,0,16,0,0,20,17,39,21,32,3,2020-05-01
58,20,0,100,53,31,15,43,28,43,32,0,35,41,19,19,27,33,8,2020-06-01
59,22,22,95,38,88,20,46,28,62,28,0,0,41,39,0,62,24,33,2020-07-01
