index,Castell de Bellver: (España),Cuevas del Drach: (España),Cabo de Formentor: (España),Palma Aquarium: (España),Soller: (España),Cala Galdana: (España),Cala Mitjana: (España),Monte Toro: (España),Cala Macarella: (España),Cala Macarelleta: (España),Albufera: (España),Cala Pregonda: (España),Faro de Favaritx: (España),Cala Benirras: (España),Es Vedra: (España),ses Salines: (España),Cala Salada: (España),Ses Illetes: (España),Es Pujols: (España),Cap de Barbaria: (España),Ses Platgetes: (España),magaluf: (España),date
0,47,96,40,64,63,47,56,66,67,47,59,66,32,68,52,81,86,74,50,71,100,85,2015-08-01
1,40,41,35,31,37,22,28,31,30,39,66,47,55,23,37,36,21,26,49,87,0,43,2015-09-01
2,39,18,22,36,34,9,8,18,6,15,58,6,27,13,20,22,6,14,20,28,27,20,2015-10-01
3,33,13,22,21,24,15,4,36,6,14,51,6,27,0,15,19,6,14,19,30,0,12,2015-11-01
4,58,19,23,28,18,5,5,21,20,16,49,7,0,0,18,17,6,21,11,34,0,7,2015-12-01
5,54,13,48,14,22,15,5,40,7,17,49,7,0,0,30,20,9,20,21,32,0,10,2016-01-01
6,24,16,23,18,26,13,9,49,13,31,50,7,29,14,52,23,6,100,28,31,29,12,2016-02-01
7,54,33,27,23,39,20,7,44,7,25,74,14,32,24,18,36,10,26,33,66,0,28,2016-03-01
8,42,20,24,28,44,21,7,29,19,16,57,10,28,42,33,39,12,15,32,47,29,28,2016-04-01
9,52,22,24,40,52,29,19,51,31,49,60,24,61,29,41,41,29,48,41,34,31,44,2016-05-01
10,100,38,26,34,50,43,39,51,37,49,61,29,32,48,37,45,44,49,57,46,33,84,2016-06-01
11,52,59,59,59,63,58,61,63,65,69,64,76,100,59,69,72,65,92,69,55,37,84,2016-07-01
12,52,87,59,56,73,47,78,90,59,63,64,84,40,74,66,89,91,84,57,56,39,71,2016-08-01
13,46,48,51,40,55,39,51,74,38,53,58,39,33,48,47,50,57,42,63,54,34,50,2016-09-01
14,50,24,50,43,44,12,10,28,10,17,60,7,31,15,27,23,20,18,38,66,0,34,2016-10-01
15,38,15,50,19,22,7,10,39,7,16,59,13,31,15,15,18,6,16,11,33,0,12,2016-11-01
16,58,11,0,23,21,4,5,32,13,16,49,0,0,14,13,16,14,21,11,34,0,12,2016-12-01
17,52,13,26,18,21,13,10,44,13,30,57,8,28,15,13,26,9,29,31,31,0,14,2017-01-01
18,29,14,45,15,28,17,7,32,12,20,60,10,0,14,14,32,9,39,19,30,0,14,2017-02-01
19,82,19,23,15,40,22,4,75,12,44,64,13,54,40,21,23,14,19,29,60,0,26,2017-03-01
20,53,28,52,33,46,31,13,37,21,31,87,16,29,26,27,45,24,33,36,94,29,34,2017-04-01
21,37,24,36,25,49,34,23,37,20,47,56,23,30,43,49,37,37,36,42,89,45,47,2017-05-01
22,37,43,49,48,53,52,49,31,48,64,68,45,30,51,56,58,57,58,71,43,50,96,2017-06-01
23,51,60,58,50,62,100,54,94,78,100,76,90,62,70,68,72,72,77,100,67,63,82,2017-07-01
24,50,65,100,58,84,75,80,70,57,99,69,84,94,75,80,79,98,63,63,63,29,85,2017-08-01
25,46,53,46,59,63,47,56,67,54,41,64,45,56,41,56,44,47,29,54,61,29,57,2017-09-01
26,50,23,23,55,42,17,13,36,9,29,60,13,26,25,28,22,20,19,28,61,0,32,2017-10-01
27,33,14,22,27,29,5,6,53,11,15,59,13,27,13,19,27,6,9,10,30,0,11,2017-11-01
28,54,15,22,13,23,11,5,31,7,17,57,10,0,14,14,17,6,20,51,34,0,11,2017-12-01
29,48,10,21,18,27,10,4,35,14,14,62,6,26,12,13,17,11,18,19,28,26,19,2018-01-01
30,31,12,42,20,33,10,8,40,17,14,63,12,26,12,14,22,5,17,22,29,0,15,2018-02-01
31,71,35,47,41,57,16,9,59,10,27,87,34,25,0,26,29,16,20,26,0,27,20,2018-03-01
32,38,41,42,76,62,27,11,69,13,14,83,15,26,31,44,53,20,27,37,29,26,49,2018-04-01
33,61,29,21,50,63,33,20,44,22,28,66,27,26,36,43,48,39,40,45,55,26,66,2018-05-01
34,41,34,34,46,58,57,59,66,57,52,66,50,26,56,52,52,53,55,70,58,25,91,2018-06-01
35,44,57,51,71,67,70,72,77,60,93,73,70,27,78,84,73,77,78,72,69,54,94,2018-07-01
36,67,84,60,82,87,83,91,100,90,79,83,86,28,65,83,100,85,92,68,76,55,100,2018-08-01
37,52,43,41,54,73,48,58,52,68,50,64,70,76,49,62,65,51,59,95,68,26,77,2018-09-01
38,48,30,35,50,61,16,12,47,11,28,71,21,0,31,33,48,18,21,46,28,0,39,2018-10-01
39,25,17,20,28,29,5,4,25,8,13,56,6,0,0,19,17,5,26,12,27,0,14,2018-11-01
40,37,22,24,18,28,8,9,58,12,16,67,7,26,14,23,17,6,13,14,29,0,14,2018-12-01
41,16,13,21,14,25,10,4,50,5,13,73,6,24,12,18,22,15,9,17,40,0,10,2019-01-01
42,39,20,60,20,33,12,8,34,11,14,78,12,25,12,22,29,8,20,18,27,0,14,2019-02-01
43,55,23,41,21,44,17,8,52,14,28,72,12,25,12,21,25,15,17,20,46,0,28,2019-03-01
44,53,34,40,100,76,26,13,33,17,14,76,20,26,38,35,37,23,23,30,28,0,66,2019-04-01
45,40,30,20,62,57,40,25,33,21,26,67,17,24,27,59,42,28,55,44,44,25,46,2019-05-01
46,44,70,41,55,59,56,59,49,80,69,76,70,50,60,67,64,56,67,58,61,52,82,2019-06-01
47,38,75,60,73,77,76,73,87,70,46,84,100,26,47,79,67,61,76,90,70,26,90,2019-07-01
48,66,100,53,86,100,81,100,82,100,79,100,99,41,100,100,85,100,86,90,99,27,93,2019-08-01
49,57,53,64,71,76,67,73,64,57,29,65,61,23,72,61,59,67,57,93,77,36,70,2019-09-01
50,35,23,54,60,53,32,12,41,15,12,70,21,34,40,40,42,16,21,37,49,0,37,2019-10-01
51,48,19,36,37,29,7,3,19,5,12,56,10,22,0,23,18,9,8,16,24,0,15,2019-11-01
52,33,13,20,18,27,18,8,23,10,14,61,6,25,12,20,21,5,12,16,0,0,11,2019-12-01
53,28,13,17,16,26,12,3,43,7,12,71,5,0,11,19,21,5,8,15,23,22,15,2020-01-01
54,48,17,26,28,35,14,3,44,9,23,67,10,22,10,18,15,5,10,13,47,0,15,2020-02-01
55,35,11,33,26,35,10,8,49,5,11,55,5,40,9,26,20,4,19,13,22,0,15,2020-03-01
56,23,6,0,4,13,4,3,21,8,10,39,4,20,9,28,21,6,11,11,21,0,17,2020-04-01
57,24,13,32,5,20,14,10,40,7,10,44,7,20,9,42,23,10,13,30,22,20,14,2020-05-01
58,18,17,35,10,30,34,14,29,17,35,76,25,32,21,26,33,15,37,46,39,22,19,2020-06-01
59,26,23,26,30,45,51,35,78,35,29,70,55,33,46,62,68,31,51,57,100,33,54,2020-07-01
