Semana,Museo Nacional del Prado: (Reino Unido),plaza mayor: (Reino Unido),Parque de El Retiro: (Reino Unido),Puerta del Sol: (Reino Unido),gran via: (Reino Unido),Museo Nacional Thyssen-Bornemisza: (Reino Unido),Templo de Debod: (Reino Unido),Catedral de Santa María la Real de la Almudena: (Reino Unido),cibeles: (Reino Unido),Palacio de Cristal: (Reino Unido),Puerta de Alcalá: (Reino Unido),El Rastro: (Reino Unido),Plaza de Toros de Las Ventas: (Reino Unido),Chueca: (Reino Unido),san gines: (Reino Unido),callao: (Reino Unido)
2015-08-02,<1,47,19,19,34,19,100,44,32,0,0,37,35,66,0,47
2015-08-09,<1,31,19,37,50,49,0,29,31,19,39,22,69,18,0,57
2015-08-16,<1,20,19,57,39,25,33,29,21,0,0,33,35,28,0,39
2015-08-23,<1,15,0,27,41,0,0,56,41,0,37,0,34,27,0,52
2015-08-30,<1,25,19,19,53,18,33,29,48,0,0,43,52,18,0,46
2015-09-06,<1,31,56,57,47,31,32,72,21,37,38,22,46,37,34,85
2015-09-13,<1,49,27,18,59,27,32,28,27,18,0,21,50,44,66,48
2015-09-20,<1,39,18,36,35,27,32,28,40,54,37,42,33,18,33,41
2015-09-27,<1,15,36,37,27,36,32,56,20,18,0,63,67,18,0,48
2015-10-04,<1,48,0,36,45,23,0,68,20,18,73,21,33,23,0,20
2015-10-11,<1,29,18,18,56,18,31,37,50,18,0,21,33,53,0,51
2015-10-18,<1,38,23,36,74,46,61,27,39,18,36,41,32,17,33,63
2015-10-25,<1,29,18,36,46,35,31,0,30,0,0,21,98,18,0,68
2015-11-01,<1,36,35,23,52,34,30,40,39,17,35,20,0,46,0,33
2015-11-08,<1,28,17,26,41,17,30,80,29,17,0,0,0,28,31,43
2015-11-15,<1,38,17,0,31,57,31,27,19,17,36,40,98,43,0,39
2015-11-22,<1,42,34,28,35,0,29,26,19,17,35,20,0,22,31,29
2015-11-29,<1,38,43,43,44,0,30,40,26,17,0,20,32,17,0,42
2015-12-06,<1,33,23,44,24,17,0,27,20,17,36,31,32,17,32,20
2015-12-13,<1,46,38,44,36,55,32,0,31,19,0,33,0,19,0,18
2015-12-20,<1,53,0,0,42,21,0,0,36,0,0,100,0,32,0,33
2015-12-27,<1,32,20,79,32,0,0,30,22,19,40,38,73,19,36,34
2016-01-03,<1,36,18,27,61,17,0,27,30,0,36,21,49,17,32,63
2016-01-10,<1,36,18,29,74,17,0,27,33,17,0,20,0,17,0,47
2016-01-17,<1,59,18,36,40,26,0,28,20,18,37,31,33,18,0,51
2016-01-24,<1,43,17,35,45,17,46,81,19,0,0,31,32,17,32,50
2016-01-31,<1,33,18,36,66,34,31,27,0,0,0,27,0,17,32,60
2016-02-07,<1,39,59,54,40,18,31,28,0,18,0,42,66,35,64,68
2016-02-14,<1,64,18,18,62,36,32,0,30,0,37,21,34,0,33,72
2016-02-21,<1,81,36,18,62,18,31,27,27,18,0,0,33,18,33,75
2016-02-28,<1,57,29,18,76,17,30,27,20,0,36,0,0,17,32,66
2016-03-06,<1,29,27,18,48,18,62,27,20,36,0,21,33,18,0,54
2016-03-13,<1,44,90,36,51,36,31,37,20,18,0,21,50,47,33,48
2016-03-20,<1,30,18,25,44,36,0,28,21,36,38,0,0,36,0,56
2016-03-27,<1,25,28,28,44,27,65,57,21,0,38,22,34,36,34,70
2016-04-03,<1,44,18,45,45,29,62,55,40,18,37,31,33,26,33,47
2016-04-10,<1,83,24,36,54,24,31,41,30,18,37,21,33,0,33,51
2016-04-17,<1,22,45,45,62,18,63,28,47,0,56,0,34,35,0,56
2016-04-24,<1,58,35,18,58,17,31,55,39,0,36,20,76,34,0,70
2016-05-01,<1,45,18,30,57,36,32,42,41,18,37,32,50,44,0,31
2016-05-08,<1,22,42,18,52,45,32,28,20,0,37,21,34,42,67,31
2016-05-15,<1,63,18,30,56,18,31,28,0,0,37,21,66,29,33,54
2016-05-22,<1,30,31,28,66,54,0,28,28,18,0,32,46,37,0,67
2016-05-29,<1,36,37,29,39,37,33,29,49,19,0,0,70,19,34,32
2016-06-05,<1,50,37,56,58,0,64,28,41,18,38,43,68,36,34,56
2016-06-12,<1,58,36,24,56,18,31,27,40,18,55,0,50,23,0,44
2016-06-19,<1,30,45,18,40,18,32,28,50,27,37,42,33,36,33,55
2016-06-26,<1,30,24,37,74,18,32,0,31,0,0,21,51,24,34,56
2016-07-03,<1,23,57,0,63,50,33,29,21,19,0,45,35,38,52,65
2016-07-10,<1,26,38,29,40,0,66,59,21,19,39,22,70,38,70,65
2016-07-17,<1,45,20,41,73,20,54,0,34,0,0,32,0,20,37,50
2016-07-24,<1,27,39,26,59,19,0,0,0,0,0,23,0,0,0,63
2016-07-31,<1,22,33,27,42,39,0,31,22,20,0,23,0,39,0,49
2016-08-07,<1,39,31,31,43,41,36,32,46,0,0,24,0,20,38,55
2016-08-14,<1,52,31,42,41,31,37,32,70,21,0,24,0,41,38,60
2016-08-21,<1,25,20,21,24,40,36,52,23,20,0,24,76,34,56,39
2016-08-28,<1,21,20,40,41,52,34,30,44,0,0,34,55,32,72,71
2016-09-04,<1,55,32,19,52,29,34,30,22,0,0,0,72,38,35,51
2016-09-11,<1,37,58,39,37,29,0,0,43,19,39,23,36,19,35,58
2016-09-18,<1,70,32,38,60,19,33,59,32,0,0,33,47,0,0,36
2016-09-25,<1,41,0,28,53,18,32,29,21,0,0,32,0,37,34,46
2016-10-02,<1,61,38,19,56,31,66,0,21,0,39,66,35,28,34,46
2016-10-09,<1,30,19,18,47,37,0,29,21,0,75,33,34,37,0,42
2016-10-16,<1,61,28,19,56,27,33,29,31,0,77,0,0,18,68,39
2016-10-23,<1,20,38,19,47,19,33,29,21,18,0,43,34,37,0,46
2016-10-30,<1,38,19,37,22,28,0,86,42,28,38,32,34,27,34,70
2016-11-06,<1,37,18,18,43,36,0,41,20,0,37,42,33,0,33,44
2016-11-13,<1,19,18,36,48,23,62,27,30,53,0,51,0,26,64,78
2016-11-20,<1,38,17,17,34,51,0,36,32,17,0,40,0,26,0,43
2016-11-27,<1,22,18,18,29,35,0,0,20,18,0,21,0,35,32,50
2016-12-04,<1,19,18,36,40,0,62,27,20,0,37,41,66,29,49,20
2016-12-11,<1,31,0,25,47,18,32,0,21,0,0,44,34,25,0,60
2016-12-18,<1,16,20,34,39,0,35,0,23,0,0,23,0,30,37,30
2016-12-25,<1,58,30,51,36,40,53,47,45,0,0,24,38,20,37,61
2017-01-01,<1,52,26,53,50,0,0,0,39,0,71,20,32,34,0,86
2017-01-08,<1,32,0,50,55,16,29,38,18,0,67,19,0,16,0,60
2017-01-15,<1,46,25,17,81,42,44,52,19,0,0,20,61,17,31,70
2017-01-22,<1,56,17,40,61,25,0,26,38,17,0,0,63,17,0,100
2017-01-29,<1,27,49,25,69,49,29,25,18,0,34,19,31,16,30,72
2017-02-05,<1,28,17,17,66,17,30,26,38,22,35,20,0,17,0,67
2017-02-12,<1,37,25,17,59,22,30,26,19,17,35,0,0,34,31,87
2017-02-19,<1,37,22,45,63,25,0,0,19,0,35,0,31,17,0,64
2017-02-26,<1,58,32,33,54,16,28,100,18,32,0,38,30,37,30,59
2017-03-05,<1,31,22,28,44,24,57,25,27,16,34,19,31,27,0,41
2017-03-12,<1,41,25,33,84,22,29,25,37,25,34,39,31,16,0,57
2017-03-19,<1,23,34,45,66,33,30,26,19,0,0,20,52,50,31,74
2017-03-26,<1,43,35,17,49,23,60,27,19,0,36,34,32,34,32,59
2017-04-02,<1,48,18,0,48,35,47,28,30,26,0,31,100,23,0,67
2017-04-09,<1,63,30,63,80,35,62,83,20,17,0,0,65,41,33,57
2017-04-16,<1,38,17,35,44,51,61,53,19,17,36,41,65,34,0,85
2017-04-23,<1,45,17,17,57,27,29,26,56,0,34,29,46,49,0,79
2017-04-30,<1,28,45,28,46,100,30,52,0,17,0,20,63,34,0,84
2017-05-07,<1,32,34,17,33,34,45,26,19,17,35,40,42,17,0,65
2017-05-14,<1,38,46,18,34,26,31,0,0,0,0,20,64,17,32,43
2017-05-21,<1,25,28,37,60,0,65,38,55,0,38,21,68,0,34,73
2017-05-28,<1,44,63,36,54,18,31,41,50,0,0,0,33,36,49,75
2017-06-04,<1,42,40,40,84,17,45,0,57,17,35,20,42,17,0,65
2017-06-11,<1,45,24,43,35,54,32,28,20,18,37,21,51,18,33,41
2017-06-18,<1,34,18,29,60,26,0,41,20,35,36,31,76,29,0,53
2017-06-25,<1,49,36,30,40,35,31,0,20,0,37,21,33,30,66,54
2017-07-02,<1,25,24,0,49,18,32,56,20,36,38,21,34,18,100,69
2017-07-09,<1,24,27,27,48,0,31,27,20,0,37,21,33,23,0,54
2017-07-16,<1,39,27,18,69,24,0,55,40,18,0,21,0,18,33,68
2017-07-23,<1,48,35,27,50,26,46,0,20,17,36,21,0,17,32,50
2017-07-30,<1,42,40,29,67,17,30,27,19,0,0,41,32,17,32,85
2017-08-06,<1,48,17,36,42,0,30,36,26,0,36,21,65,26,32,84
2017-08-13,<1,34,24,18,37,18,46,41,100,18,73,42,33,35,49,64
2017-08-20,<1,34,18,18,77,44,62,27,20,17,36,0,66,52,32,77
2017-08-27,<1,49,36,0,48,18,32,28,30,0,37,32,51,36,32,58
2017-09-03,<1,66,34,17,49,17,50,40,29,0,0,0,32,23,0,79
2017-09-10,<1,42,25,35,48,34,0,0,57,0,35,20,48,25,31,78
2017-09-17,<1,33,51,34,48,34,45,26,19,17,0,20,0,17,0,65
2017-09-24,<1,64,100,25,40,25,44,26,19,25,0,19,31,16,31,44
2017-10-01,<1,42,34,28,43,0,58,0,56,17,0,19,31,17,31,45
2017-10-08,<1,27,25,22,48,16,44,51,19,28,0,19,31,66,61,29
2017-10-15,<1,34,0,39,47,41,38,38,37,16,0,26,0,16,30,53
2017-10-22,<1,50,17,22,45,33,29,34,19,22,34,19,32,58,41,57
2017-10-29,<1,27,22,17,35,27,29,38,18,0,34,19,31,16,0,47
2017-11-05,<1,47,25,16,44,24,43,25,18,24,34,29,31,16,30,41
2017-11-12,<1,44,0,16,36,16,28,25,18,0,33,19,31,16,30,37
2017-11-19,<1,26,0,27,31,0,28,36,18,16,0,28,0,46,29,42
2017-11-26,<1,27,16,33,39,33,57,0,37,0,34,19,0,16,0,31
2017-12-03,<1,55,25,34,23,0,29,0,19,0,0,20,31,0,31,22
2017-12-10,<1,28,25,28,20,33,44,26,0,17,69,20,0,41,31,13
2017-12-17,<1,25,18,31,44,18,64,28,20,18,0,0,0,27,0,38
2017-12-24,<1,23,19,25,40,19,0,29,0,19,0,22,36,0,35,47
2017-12-31,<1,18,17,34,40,49,58,26,37,17,34,39,0,16,30,47
2018-01-07,<1,20,40,27,46,16,56,25,18,0,33,19,30,16,29,61
2018-01-14,<1,21,16,24,52,0,82,24,35,16,32,28,29,15,0,86
2018-01-21,<1,30,24,26,50,16,0,24,53,16,0,0,0,16,43,57
2018-01-28,<1,33,24,24,48,16,55,25,18,16,67,19,30,16,0,67
2018-02-04,<1,35,16,22,41,0,28,25,0,0,33,38,0,16,30,37
2018-02-11,<1,36,25,50,47,32,29,51,36,0,0,19,30,0,30,69
2018-02-18,<1,26,32,24,44,21,0,0,30,0,0,19,0,16,0,49
2018-02-25,<1,33,30,0,45,15,26,23,17,15,0,35,28,15,56,57
2018-03-04,<1,31,16,16,43,37,28,25,36,16,33,38,30,21,29,61
2018-03-11,<1,22,43,27,43,31,28,49,18,16,0,37,0,16,59,61
2018-03-18,<1,44,0,16,29,16,28,38,36,16,0,0,0,0,30,40
2018-03-25,<1,41,33,28,50,17,29,0,37,0,34,20,61,25,0,73
2018-04-01,<1,20,16,17,57,33,58,51,19,0,34,19,46,49,30,31
2018-04-08,<1,40,16,33,61,16,28,42,0,24,0,0,61,16,30,65
2018-04-15,<1,41,42,28,50,33,29,51,37,33,69,0,62,33,31,41
2018-04-22,<1,52,24,16,40,21,27,49,0,0,0,37,29,31,0,36
2018-04-29,<1,40,65,27,34,27,28,25,18,0,33,19,45,32,30,28
2018-05-06,<1,46,33,17,25,17,58,26,19,0,35,39,62,16,31,32
2018-05-13,<1,32,50,17,52,33,29,0,37,0,0,19,47,25,30,38
2018-05-20,<1,36,22,22,27,22,58,51,56,17,0,19,47,0,31,57
2018-05-27,<1,41,16,25,49,27,29,25,49,16,0,19,31,49,0,41
2018-06-03,<1,22,22,25,44,16,29,38,18,16,34,29,61,49,30,62
2018-06-10,<1,13,37,16,43,31,0,33,18,0,0,28,44,16,0,60
2018-06-17,<1,59,82,33,39,32,0,25,25,16,34,19,61,22,0,34
2018-06-24,<1,37,40,17,54,17,0,0,29,0,0,20,32,17,31,58
2018-07-01,<1,27,33,33,42,16,39,26,37,0,0,20,31,22,0,82
2018-07-08,<1,54,33,16,32,16,29,0,27,0,0,19,93,16,30,50
2018-07-15,<1,37,42,17,48,28,44,39,19,0,35,39,31,49,0,73
2018-07-22,<1,27,25,34,20,16,59,26,19,0,0,19,0,0,0,51
2018-07-29,<1,20,17,0,40,16,29,51,19,17,34,0,62,33,30,47
2018-08-05,<1,32,27,17,44,22,29,25,18,16,0,19,0,16,0,53
2018-08-12,<1,37,22,17,35,16,44,0,19,16,0,39,47,16,30,41
2018-08-19,<1,49,34,26,33,25,60,39,19,0,0,20,0,33,0,42
2018-08-26,<1,47,40,35,44,34,60,26,19,17,35,20,32,34,0,29
2018-09-02,<1,62,17,25,53,41,0,26,19,0,0,0,0,41,31,57
2018-09-09,<1,32,39,23,23,17,29,51,19,33,34,20,31,33,0,73
2018-09-16,<1,27,49,42,59,33,57,51,37,0,34,0,30,16,61,59
2018-09-23,<1,62,22,42,40,22,29,26,25,0,69,0,31,28,46,45
2018-09-30,<1,22,41,41,57,16,71,25,18,16,0,19,31,27,40,50
2018-10-07,<1,63,33,25,47,33,44,43,31,25,0,19,31,16,46,53
2018-10-14,<1,41,33,0,43,33,29,39,19,0,0,20,31,25,0,38
2018-10-21,<1,28,34,34,61,25,29,26,25,0,0,0,47,33,47,64
2018-10-28,<1,46,25,34,35,16,29,64,19,0,0,0,46,33,30,44
2018-11-04,<1,52,16,32,38,37,0,66,18,0,0,37,59,16,0,30
2018-11-11,<1,20,33,33,44,48,28,25,0,0,34,57,31,32,0,50
2018-11-18,<1,32,16,16,24,31,0,24,0,0,0,18,29,16,29,30
2018-11-25,<1,13,72,64,24,26,28,25,36,0,0,19,30,40,29,37
2018-12-02,<1,13,25,17,25,32,29,38,18,16,0,19,0,16,0,28
2018-12-09,<1,23,17,17,31,51,30,26,19,17,0,20,0,25,0,36
2018-12-16,<1,43,18,18,32,43,62,0,0,18,0,20,0,0,0,33
2018-12-23,<1,32,19,29,17,19,0,0,22,19,40,22,0,19,0,69
2018-12-30,<1,28,17,68,33,17,0,39,19,0,0,0,32,51,0,48
2019-01-06,<1,13,16,27,44,16,0,50,18,0,0,19,30,0,30,92
2019-01-13,<1,22,16,24,28,16,28,24,18,0,33,19,0,23,0,81
2019-01-20,<1,35,16,64,74,31,37,24,53,0,32,18,0,31,29,51
2019-01-27,<1,13,31,31,44,0,27,48,17,15,0,18,29,15,0,41
2019-02-03,<1,38,16,21,49,23,54,36,18,15,32,18,0,23,29,41
2019-02-10,<1,22,24,33,34,32,43,25,18,24,34,0,90,0,60,31
2019-02-17,<1,13,0,50,42,38,0,38,18,0,0,38,30,16,30,40
2019-02-24,<1,33,38,65,39,16,28,63,0,16,100,28,30,16,0,40
2019-03-03,<1,52,56,16,57,0,28,37,18,0,33,28,30,40,29,36
2019-03-10,<1,35,26,24,29,24,56,37,24,48,0,19,59,31,0,54
2019-03-17,<1,31,32,16,36,21,0,25,18,24,33,19,30,16,30,25
2019-03-24,<1,41,33,34,27,33,87,77,19,16,34,0,31,16,46,60
2019-03-31,<1,40,33,16,24,16,57,25,18,32,0,19,90,32,0,65
2019-04-07,<1,31,33,27,66,21,29,75,36,16,50,38,30,32,0,50
2019-04-14,<1,37,34,17,59,23,30,26,19,0,35,20,32,17,0,39
2019-04-21,<1,45,25,17,30,33,29,51,18,0,34,19,61,16,0,72
2019-04-28,<1,30,47,24,43,31,82,24,18,16,32,19,29,39,0,57
2019-05-05,<1,62,48,33,34,21,47,37,18,0,33,28,30,16,0,46
2019-05-12,<1,49,27,22,47,16,28,0,0,0,34,19,46,38,30,44
2019-05-19,<1,76,16,27,100,24,47,38,49,0,0,0,61,27,60,65
2019-05-26,<1,100,48,59,76,31,28,25,24,16,33,0,30,48,29,76
2019-06-02,<1,33,15,23,41,25,0,47,17,0,0,18,0,15,28,44
2019-06-09,<1,43,47,39,42,31,55,24,35,15,32,0,87,20,28,41
2019-06-16,<1,44,32,16,48,16,28,0,18,16,0,19,30,27,29,86
2019-06-23,<1,33,24,49,32,16,29,50,18,16,34,19,89,16,0,64
2019-06-30,<1,22,48,49,39,24,42,25,18,21,33,19,40,16,29,64
2019-07-07,<1,35,16,27,36,31,55,49,30,0,33,19,59,16,29,48
2019-07-14,<1,35,48,27,43,16,0,25,0,16,0,28,45,24,29,49
2019-07-21,<1,36,33,50,35,16,29,38,18,16,34,19,30,33,30,56
2019-07-28,<1,45,22,17,34,16,57,25,18,32,34,26,30,16,0,59
2019-08-04,<1,44,32,38,51,24,28,25,18,16,0,19,29,21,0,70
2019-08-11,<1,43,16,16,45,23,28,0,0,16,0,28,0,0,29,48
2019-08-18,<1,36,38,17,47,24,57,38,18,32,34,19,60,16,30,34
2019-08-25,<1,59,40,16,46,63,47,37,54,16,0,19,30,26,29,61
2019-09-01,<1,47,39,16,61,15,0,73,53,15,0,37,29,31,28,36
2019-09-08,<1,42,26,15,60,31,40,24,17,0,0,18,29,15,57,50
2019-09-15,<1,47,31,52,54,31,27,24,17,15,0,36,44,31,28,65
2019-09-22,<1,20,15,22,56,15,26,23,17,29,0,26,27,29,54,76
2019-09-29,<1,53,30,25,36,15,52,46,39,15,0,0,28,15,27,63
2019-10-06,<1,48,39,35,59,22,38,23,16,0,0,17,55,15,54,61
2019-10-13,<1,29,30,35,49,22,52,23,39,0,0,0,28,22,27,62
2019-10-20,<1,28,24,45,42,15,39,34,16,29,30,34,0,29,27,59
2019-10-27,<1,40,24,30,46,36,26,23,27,15,0,17,0,15,54,42
2019-11-03,<1,51,29,22,47,14,37,22,16,14,0,0,54,28,26,38
2019-11-10,<1,24,24,24,54,28,0,22,16,0,0,0,27,19,52,58
2019-11-17,100,31,14,19,52,35,25,0,16,14,44,17,0,14,26,41
2019-11-24,1,46,14,21,46,14,0,21,15,14,29,16,26,14,0,45
2019-12-01,<1,35,24,34,30,28,0,22,16,14,0,17,27,21,0,41
2019-12-08,<1,32,0,22,29,29,25,23,16,0,0,17,0,15,0,61
2019-12-15,<1,46,23,15,41,30,27,47,17,30,0,24,0,23,37,29
2019-12-22,<1,34,33,34,40,17,0,39,19,0,34,29,46,17,46,41
2019-12-29,<1,33,76,61,41,30,0,23,23,0,0,18,28,30,28,37
2020-01-05,<1,27,28,14,79,23,32,65,21,0,0,0,26,28,26,77
2020-01-12,<1,22,20,21,70,18,24,28,20,0,0,21,51,32,0,44
2020-01-19,<1,39,19,24,45,14,0,0,16,14,0,17,26,21,0,57
2020-01-26,<1,38,23,42,42,14,24,43,0,14,29,48,26,20,25,34
2020-02-02,<1,39,21,14,47,28,25,44,16,14,29,25,53,28,26,62
2020-02-09,<1,71,27,32,41,27,24,42,0,0,29,16,26,14,25,71
2020-02-16,<1,38,27,28,37,13,36,35,20,14,28,16,26,22,0,57
2020-02-23,<1,63,47,34,58,33,47,0,15,13,0,16,50,18,25,51
2020-03-01,<1,33,34,41,45,33,0,42,23,27,0,16,25,27,0,46
2020-03-08,<1,29,13,22,61,13,23,0,20,0,27,0,24,32,48,45
2020-03-15,<1,21,13,57,35,13,23,40,14,0,0,15,0,39,0,7
2020-03-22,<1,35,19,21,20,12,22,39,28,12,25,15,23,0,0,17
2020-03-29,<1,30,17,33,32,12,22,19,18,0,51,22,23,12,0,24
2020-04-05,<1,24,13,30,31,25,0,20,14,13,0,15,0,13,0,33
2020-04-12,<1,15,0,19,13,37,0,19,21,12,26,15,23,38,0,22
2020-04-19,<1,24,13,25,19,12,22,0,21,12,26,0,23,37,0,17
2020-04-26,<1,20,0,12,9,24,21,19,18,12,0,0,0,12,0,14
2020-05-03,<1,27,12,17,33,0,43,19,14,12,0,0,23,0,23,35
2020-05-10,<1,30,12,12,11,12,21,28,13,0,0,0,0,24,0,16
2020-05-17,<1,27,21,25,13,18,22,19,14,12,25,0,47,12,0,21
2020-05-24,<1,18,22,22,20,26,0,20,15,13,0,0,0,13,0,25
2020-05-31,<1,20,12,30,19,0,21,19,20,12,0,0,22,12,22,28
2020-06-07,<1,10,24,30,38,12,21,19,0,0,25,21,34,18,0,27
2020-06-14,<1,53,18,16,31,24,21,37,0,0,0,14,23,12,22,19
2020-06-21,<1,17,13,17,40,12,0,20,14,0,0,0,24,12,23,24
2020-06-28,<1,20,12,12,29,12,21,0,14,12,25,14,23,28,22,28
2020-07-05,<1,21,0,22,35,25,22,20,14,13,0,30,24,13,0,32
2020-07-12,<1,22,22,18,26,0,24,21,35,13,28,0,25,13,25,23
2020-07-19,<1,34,14,18,31,13,0,21,31,14,0,16,26,14,0,39
2020-07-26,<1,0,99,100,45,0,0,0,0,100,0,0,0,100,0,0
